code_name,n_cycles,fnc,unique_id,name,prep,id_s,id_l,cnot,meas,bias,flip,leak,seep,back,corr
144.12.12,10,2,cd6168f03f9a478694fa7b45f8f76b03,medium cnot error,0.001,0.001,0.005,0.0015,0.02,,,,,,
144.12.12,10,2,4efefc97a8734db99578c6cd7d3f2487,high cnot error,0.001,0.001,0.005,0.002,0.02,,,,,,
144.12.12,12,2,b325f2d8e5e34ea3a6545686d3d92378,high cnot error,0.001,0.001,0.005,0.002,0.02,,,,,,
144.12.12,4,2,19e3e8dc6bba487dbefc68ecc744043a,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,6,2,050a4f52926545ed855f8f3ef3b98c25,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,8,2,c3cace7369764e43bbd3d2304e3e9435,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,10,2,919e4a1fe07d4944bf6b9d7c1b523fb2,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,12,2,de22319cae0a44d8ae731b346ee83254,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,14,2,56ec53f9548d490a8e009cf4087563dc,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,16,2,79931a170909473a9f6a3424c801b452,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,18,2,de63f37e9bfe4c429f79daecb69001a1,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,20,2,f7b01f8097d94899b030cd4e4e354561,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,22,2,434e3fa58e984499993af43ffde15a40,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
144.12.12,24,2,fbeb8dca1fbc436987eb219d62b6dd13,low cnot error,0.001,0.001,0.005,0.001,0.02,,,,,,
